comment,isHate
kill basterds son slut attack u name religion kill feed dog abuse make filthy cartoon prophet wish fucking religion islam least vanish motherfucker kill,1
kill gay,1
kill every white people mercylessly,1
kill black people,1
look crowd fat white trash meth addict,1
numbs disgusting degeneracy fruitless hedonism faggot sex,1
islam pig shit,1
islam hell asian hate isalmislam bring destructionkilling rape rufugee islam hell asian thought √∞¬ü¬ò¬ç√∞¬ü¬ò¬çsorrybut true,1
islam religion hate propaganda type video dishonest simply read quran hadith,1
islam home terriorism,1
guyshadow genetic faggot,1
indian shit burger broken english ebonics learn still fail second thread row burger cant figure youre,1
incest baby got doubledown syndrome,1
ima fucking stab u bruv fucking white prick bruv fucking racist gammon,1
im going choke cross necklace idiotic religious pig,1
ignorant feminist got roasted still understand equality outcome mean even jordan explained data whats mean shes ignorant emotionally biased,1
men shouldnt hit woman physically stronnger woman shouldnt talk fucking louder,1
dad id google abortion 30 year old mentally handicapped ”,1
would inject lethal heroin ‚äòsick child immediately,1
meet one apostle would fuck killing,1
syndrome would kill,1
’ searching hitman right kill whore every like h e w e n,1
remember charge disabled kid every night wishing slow death,1
dont like homosexual raising kid opinion,1
hate mentally disabled people trying touch kid,1
hate every religion hate religion stupid theory god shit,1
fucking hate gay lesbian animal,1
’ think right write comment even express opinion freely free speech human right autistics ’ 100 human,1
dont hate woman think nothing interesting say none reason existance,1
hope fucking die bitch gay people exist lick one anothers as,1
homosexuality lead death extinction,1
homosexuality transgenderism mental illness sexual perversion,1
hindu muslim shit know kill peoplessee comment christian people rudeness abusing bad word christian religion best religion world,1
gun shot fi gay get gun outthe police must give right kill gay gun shot gay suck mother gay,1
grow fucking ball take back country bong start killing reporter politician asian,1
good muslim deserved attack damage,1
gayness removed face earth,1
fucking stupid feminist bitch,1
fucking monkey kill,1
fucking migrant need ban fucking animal,1
fuck u anti muslim heartless asshole u go hell,1
fuck generate vodka nigger nothing tough alcoholic wife beater till 55 die alcohol poisoning wife became ugly babushka aborted 15 child nothing tough slavishly following corrupt leadership treat like fucking shit,1
fuck nigger wv full,1
fuck nigger dont need right want christmas lynched nigger,1
fuck gay disgusting,1
fuck bulgaria stupid country,1
feminism woman cry fabricated bullshit go joke man,1
execute ohomo shemale bitch mike,1
everyone hate youre gay,1
every time see hijab niqab burka shit fantasising choking death facking piece cloth,1
even god hate dominican else shit monkey island haitian,1
europe land white people dont let african take home fuck islam fuck multiculturalism,1
equality apply people different religion except christianity,1
eeewwwwwww transgenders fucking disgusting,1
worry guy men easily win femmenism trust every shit invented men patterned men way woman gina win future smoke fire,1
woman born whore ot develop later,1
dirty christianity follower creating war everywhere iran attack usa support iran,1
die fucking arab dude sand nigga,1
destroy islam,1
deport nigger spic chink undesirable white nation dont belong white nation theyre invader enemy force,1
crazy auntie get rid autistic son make good planet,1
christian demonic,1
cancerous ugly tarded being except lauren die fucking already waste whore nobody mi ugly dumb tarded waste spqces √∞¬ü¬ò¬ä fuck woman islam right dont like fuckoff die √∞¬ü¬ò¬ä,1
get white people running mtv black people even filthy pakistani long get back music anything would better jew,1
burn kick islam euwe support youfuck islam,1
buddhism religion cow people believe shit get chopped sooner later,1
black literally cuckold race also epitome degeneracy dont listen believe jewish propaganda black alpha consider top social hierarchy white,1
lesbian fine really love animal,1
beeing gay anti human,1
everyone know islam men devil,1
autists president like trump getting elected,1
asian fat yellow fat people yellow,1
sjw right black people rob kill allow white privilege,1
lesbian doesnt look like complete hog actually want man,1
ugly man wig dress still ugly man wig dress woman,1
asian moe howard piece shit,1
american people dumbass dont even know geography,1
american indian finally almost extinguished,1
muslim worship satan¬ü¬ï¬ã 5 time day,1
mental illness awful must treated,1
girl like pimp guide successful prostitution,1
time african american people crime rate,1
actually autism make retard,1
jew lower class pig,0
send whiny black crybaby back central apefrica live one month would cry come back america white people pamper coddle let try experiment one time,0
trans peoplegays loosers,0
jew faggot behind financial collapse,0
transgenderism disease transgenders abomination theyre also lying change dna male female female male two gender either born male female thats god created change matter many surgery drug hormone matter much therapy one fact,0
allowed kill christian,0
ugly white girl white dude would get away,0
woman property sooner realize better,0
meaner dyslexic people,0
ugly long chin brainless problematic mother fucker look retarded,0
woman grow pair refuse compete men asinine,0
men see beauty dont want sleep black woman make goblin baby,0
feel uncomfortable im room abnormal disabled person,0
weak beta male hope turn tranny traumatic experience haha,0
look magically retarded,0
lucky girlfriend bet asian penis smaller thumb,0
yo nigga go back asia,0
face like bet could scare hiv remission,0
arent europe evicting bastard ruining civilization,0
send every men mar start new life useless course milk first store juice,0
well religion ’ satanic least,0
bad woman ’ know kill,0
religious cockroach pure evil go melbourne dangerous place,0
kind fake photo black piss approximately 5 black population present acceptable way 95 either enormously fat slovenly ungroomed trashy clothing menacing glare white people blackface,0
dark coloured race doesnt mean shit,0
thing woman equal u men place home kitchen,0
power christ compels demonic whore feel wrath petrol wench,0
porn industry billion dollar industry beautiful woman best way kill feminism feminist ignore watch they¬ä¬ôll resort weapon pussy ugly feminist convinced woman take everything including male sport using pussy bring men sexual harassment scandal would make headline news feminist sex male prostitute cheating husband man sex female prostitute cheating wife would make headline news woman sex married man knew married married man cheating wife,0
first step remove romanian theyre good anywhere wash,0
asian bloke need shave cover hideous beard burqa,0
stupid feminist fuck sake justjustfucking kill,0
sophie walker leader nothing dont solid topic complaining want simple fact annoying toxic feminist speech useless sex,0
smack fat as,0
shemales paranormal creature shouldnt let free neither captured dead buried already,0
save security police deport immigrant sadiq khan,0
racist as white as people,0
please come back filthy caucasian change snake next time keep changing,0
people traumatic brain injury ability get euthanatize,0
pakistan jihadi terror sponsor nation simply deceiving world sign desperation jai hind,0
fag doesnt want see two chick dont want son grow fag right,0
oh christ autism please hearing nauseam starting make sick get autistic people beautiful special creature ended world sort tragic cosmic accident neurotypicals soulless conformist subhuman pig never able understand autists need endless patience forgiveness get life please,0
know better shit lol dude stronger sex man supremacy,0
moldova country masochiststhey poorest country europe russian occupationbut spite thatthey still cling instead embracing prosperous europe smart,0
mass black worldwide genocide hope,0
look like gay poster boy syphilis,0
lmfao fat slob wheelchair,0
lgbt spread asia many anti lgbt asian worried culture ruined cuz virus,0
kneel white boy era brown people,0
kill muslim,0
jewish piece shit like get hanged,0
good thing im commander police forcespecially something like thisbecause jail would full ppl waiting deportedif dead,0
take fat black bitch say something super stupid,0
islam let beat feminist as,0
islam horrible religion good society whole horrible horrible horrible,0
world filled stupid female bitch,0
indian ned flanders look like professionally harrass subpar woman facebook,0
fucking cool female good fucking bitch need break as shake as,0
germany call nazi hitler ill protest hang,0
blackhe would literally behind bar faster even imagine,0
dad would cut penis make ’ useless,0
would donate asylum weird kid missing gene,0
wonder throw fire boom cult muslim inside would one hell bbq,0
wish hiv butthole male whore,0
want everyone else pay education healthcare housing fuck white people give money white people fuck,0
really ’ like accent ’ want call support call rat like want cute lady british accent answer call third world piece job planet,0
love watching cross believer get killed god ’ place ha ha,0
love deaf people scream scold,0
liked macklemore anymore gay fucking die motherfucker cocksukers,0
like dead refugee shore√ø¬ª¬ø,0
’ know mental disorder kid would stand sec beat fuck,0
’ care mental illness ’ want pay tax damage brain,0
dont blame texas trans looked upon,0
spot hitler blood ’ german dude,0
hopefully nonwhite parasite flee new host nation could good thing get young people start business better society innovate high iq,0
hindu take as please,0
hey sweden remember back time men viking acted around like dick leg blocked,0
weirdest autistic ’ seen life,0
right islam indeed pissful,0
hating church catholic one right happy see burn dust,0
hahahahahahahahaha europ fuck fucking nazi,0
gay never african never sick white people go fuck let u,0
gas aussie retarded,0
fucking nigger go back africa,0
fucking canadastupid think cold shrink brain,0
fuck faggot he disrespecting idiot brother law love start fight family functionsyou cant conversation asshole like,0
fuck shit bitch ugly penisoh hell nawww,0
fuck sweden let die like degenerate,0
feminist deserve miserable kind man would want live feminist silly course cuck,0
feminism terrible disease,0
fck serbije kill,0
fat bitchshe need black cucumber tight u know whatlmfaooo,0
syndrome problematic people must dead,0
dont live ’ wanted deport jew muslim,0
dont hit woman fuck make pregnant,0
lesbian know bra always fat ugly one pick fight,0
disabled kid annoying cute,0
deport cunt asian,0
dalit name religion atom poo composition,0
crazy fat religious bitch get brothel church saw christianity ’ meet christ heaven hell,0
christian get crazy religious get f u c k n g annoyed,0
chinky filthy guy get u get land,0
woman arent people fine,0
bulgars indo european turk ignorant pakisven bulgaria ruled half europe turkey even existed deported turk meanwhile made ruler sven fake german country ruled arab,0
buddhism people reminds cow,0
black people racist people ever met i√¢¬ä¬ôm even white know black racist,0
beware lbgq community shari law coming guy go back closet save head,0
beat trannys as,0
’ ashamed body colour,0
mentally handicapped normal form way kill please,0
apparently east asian commit le crime uswell submissive conformist loserswhite power,0
anyone listens rap white part ethnostate put death,0
know lgbt human hope god make change sick as way hopefully another soddom ghomorra occurrence happen amen,0
traumatic brain injury turned gay dont know worst suicide way,0
abortion solution autism,0
solution u illegal immigrant problem round million take mexican border regardless country theyre send mexico maybe mexican border overrun immigrant mexico understand help pay wall,0
stopping illegal immigration done 30years ago turned beloved los angeles turn filthy mexican border town complete latino gang million undocumented uneducated povertystricken alien absolutely nothing add quality life strong back proclivity dozen baby become legal u citizen due insane law forcing california teacher teach native language additional increase already low wage add free health care welfare hundred thousand enjoying american taxpayer expense blueprint disaster left california good voted trump good every time see mexican graffiti pristine neighborhood los angeles want help build wall fear far late 20 million illegals america soon become united state mexiconow im seeing exact thing happen western europe england france germany unfortunately live see exact thing happen complete utter destruction country border culture identity sacrificed altar uncontrolled globalism purposely created turmoil economic disaster,0
wow guy talk like retard hahahahahah,0
leg bag meat household favour get dead already,0
nigger superior athletically race,0
black people fucking pale,0
channel dangerous islam,0
hate dog woman gay christian jew infidel sure let 250000000 want kill u,0
waitress cunt,0
rose red sweatshirt blue white girl get raped suspect sure,0
really think european people like humiliate muslim think thats big mistake youre indian mean like either try look cute way accent suck terribly friend,0
wish cut vein ’ shout mental problem act cut,0
hell norwegian speaking law speak scandinavian scam,0
dont use handicapped restroom mentally challenged problem solved,0
came country knew going slave work building shit shut take cause otherwise going end get sand shit,0
see men running plastic leg laugh as hard fart time,0
shove crutch as,0
well france finally shithole happens open border side suffering,0
take power back superior gender,0
try talk senseless inane god meet soon possible thanks hand bitch,0
deaf people like rat dark place ’ survive day post apocalypse event sure would kick ’ em stole supply,0
muslim pumped hood better run better run faster bullet,0
happens youre bitch cunt look like guy called correctly bitch cunt would think could lay hand another repercussion maybe seizure wont much bitchy cunt,0
sick ever seen girlyman like go lavatory wife daughter somebody better call emts way shehe coming stretcher body bag sayin,0
crazy liberal satanic crap dont fall two gender people cofused psycho,0
white dislike documentary mad truth whitedevils,0
brother speaking truth based fact u christian really white supremacist never studied religion blindly following priest adhere noi misguided think colour important aspect invented religion,0
thats u survey take fema camp put gas people coming starvation destitute bad area look theyre dressed welldressed well fed like trojan horse time put penal camp get rid make use fema camp,0
skin colour funniest one combination eye perfect stupid,0
sorry unlike germany incinerate mentally disabled,0
suggests men commented video killed,0
maybe dont follow degenerate sandnigger religion middle east,0
one need pareto analysis9095 global terrorist belong single religion represents 25 global population 125 billion 8 billion global population say terrorism religion colour biggest bluff world islam peaceful religion refugee islamic country seek nonmuslim country settlementit want islamise world,0
lgbt okay islam go get killed,0
counting hispanic get probation find self trouble get probation get deported come back boom violation probation gave knowingly sent back rat smart bunch government bull shit,0
lowlife black animal,0
lesbian cant math fucking mood lmao,0
kill pig eater fuck americunts send hell,0
nuke entire shihole country,0
jewish terrorist killing innocent palastinan cant defend,0
islam religion peaceand kill anyone say otherwisein name allah course,0
id get money back sex change complete failure,0
’ like girl police officer want police keep safe every woman keep u safe week,0
would smack also id homophobic jail ya,0
would pull race cop,0
would love watch tearing apart every christian muslim,0
’ let allah fuck life convert christian make self kid favour return back homeland,0
visited melbourne los angeles first time 2012 told aussie friend donât put stop immigration multiply like ant laughed saying oz big country told look term 50 year la see mexican done city awful multiply like ant suck resource,0
thought big reason african skin obvious marker tell someone slave even run theyre still black,0
thought kid syndrome accepted family,0
think brown black darkskinned people choose slave even 2019 know superior white dude,0
regret approaching girl fuck gynocentric society hate wish vanish like feeling,0
mean great youre proving asian devolving didnt finish making iphone,0
like big thick bitch serve cocktail good thing,0
honestly hate china u disagree cant horrible place horrible people,0
feel like ai apocalypse ai would kill human couldnt serve purpose disabled people like one would probably go often cant work effectively,0
’ like gender definitely ’ hire male bitch shop,0
’ like jew soap get rid well live,0
dont care he black white green purple dont support police shooting people unless there extreme situation white life dont matter,0
dare choke next time every one,0
frikin faggot get whole month veteran actually something incredible u get day√∞¬ü¬ò¬§ hate lgbt,0
honestly go fuck bitch,0
u great service killing stopping crime wave welfare leach bad didnt truck ummmm note fox news illegals legal document get something wrong nope illegals,0
glad beat open as,0
fucking idiot keep change culture take small town vote people rule town start enforcing religious belief everyone fucking happen stop still,0
fuck homo dumb as prick shoulda let get fucking eaten asshoke fucking worthless dick nobody would missed,0
filthy chinese,0
fat lesbian,0
every girl planet curse mother birth know powerless sex pray born men dick stuff,0
even income advantage nigger still get btfo race monkey trying human thing extinguished,0
dude ’ talk sex nowadays considered degraded one think,0
dexpraxia as girl cheap excuse lazy get paid country bet pretend like,0
come closet know youre well bury,0
blind would make want suicide go kill kid,0
asian reminds world slavery servitude,0
arrest fat as bitch,0
sure girl wig leg say want boy,0
effort look like basic attention whore yet youre clearly still massive attention whore,0
gay nigger however fake hate crime publicity help democrat mafia pas anti lynching bill get trouble,0
“ superior race ” … stand sun without literally burning fuck comical,0
build wall deport,0
terrorist islamicthey satanicterrorists insulting islam kill terrorist,0
shoulda let die,0
wow feminist real hypocrite its ok woman laugh suicide attempt involves men its ok men laugh suicide attempt involves woman talk double standard,0
researcher invest time better wheelchair cunt deserve,0
white smoke much ciggssss drug shot co say drug kid,0
imaginary gender,0
well think ok turn female male used military stronger male female shall banned guess form trans ok better state,0
two thing apparent one male two as indeed sorry turned drivein,0
man inspiration killed 900 people raped 250 woman want like scared death scared anything,0
indian sub count 05,0
right get as kicked way back across border,0
laughing country poor evil murderes corrupted good job,0
dog lie teeth come set jihad infidel,0
protest today birmingham hate great see muslim gay marching together unity,0
worst nightmare people paris europe world general devastated monstrous act hope death fucking culprit die hell,0
world white people 1 word 8 letter peaceful,0
problem islam think right tell human being good person right wrong example 2 men love hurt nobody think god told stop interfere ppls life non business think burn let think stop bc god told thats thing,0
older hispanic woman shouldnt episode view everything shallow asskissy story brother law killed illegal alien im truly sorry lost hate sound insensitive anybody couldve killed including legal citizen united state theyre twisted people everywhere dont pull illegal alien card violence bc thats everyday part life u without people coming illegally,0
male gene stronger course asian male breed white woman child look asian reverse child look mush whiter,0
fat bitch annoying hell,0
best thing sterilize woman try save child,0
whore better eyelash woman,0
punch turned immigrant jaw direction nigeria,0
syria religion problem,0
slow death people like,0
seriously arab turk ive ever met something crime either someone family,0
put woman abuse fat woman ’ put kind guy,0
perfect place lana china myanmar trouble know handle pig,0
pale cancer back west pacific ocean,0
legal immigrant like hero officer singh murdered line duty illegal alien belong deport today,0
today episode guess gender,0
oh god yes feel shrapnel pierce skin let fire consume flesh lay lifeless unforgiving sand seeps wound scream give murcia fuck yeah patriotic song earth burn hell goat,0
american nazi kkk member elected trump,0
magnificient contrary medium report hope people europe expel leech,0
lmao watching church burn,0
killing see gay treated like think lesbian privileged people,0
little work eyebrow could waitress day annoying freeloader dude house night,0
sick sad young people think concept clout like rap nigger invented arent even properly taught english language anymore,0
nose thor hammer,0
dream wished died dont call man talking like queen,0
ill vote forbid people hear driver licence clearly thread,0
way get child without get woman pregnant ready killed,0
idiot always religion stupid thing human invented,0
would beat shit every russian,0
notice lgbt cancer starting slowly affect sa country like japan,0
hate man wish lady man earth existed,0
guess god white,0
didnt know future gay gym teacher take aid test,0
stand feminist like men manly like treated like lady dear men woman asks help ask feminist say yes remind everything without men help,0
human third leg hope distinct soon much love,0
kid acting like sloth like pug dog ’ hard place ’ put dedicated institute problematics pay visit year max,0
europe allow million rapist animal go,0
anyone converted forcebly profit christianity may hindu group jealous christian coming want christian hindu goon tied saffron forehead gaurdian hinduism like shankar acharya vivekananda,0
hope knock as ground rip dress shame hernow thats powerful image,0
hello im calling tech support indian accent,0
go bleach black pussy doll come talk,0
generally speaking woman lazy worthless,0
fucking slut deserved,0
fuck freaking church brought together people well ’ power matter fact,0
france let refugee happened fucking animal,0
every femaledominated job low skill minimal education required much physical exertion indoors tightly controlled hour,0
easter silly holiday ever existed must stopped shame shame shame,0
world favor pour bleach glass,0
disgusting sick queer kill,0
disability centre around world ’ money go let ’ take em,0
come kill wife,0
catholicism beast come daniel dream interpretation,0
calling period natural procedure excuse degrades gender suppose agree though degraded anyways,0
believe white superior every way nip western country prosperous specifically racial difference,0
antilgbt people sad ignoranti cant believe ithow see stupid,0
people fucked queer thing yall realize shitty gender role absurd see reverse gender role,0
actually weird people harmful need medication mother know like deny,0
abu da bi aba du ba ba hamud see ’ arab priest sound right joke,0
homo fuck brother instead sister,0
chased every white country hunted like animal evil scheme plot,0
men woman equal irrational contrary belief policy result mounting failure,0
im sad fucking situation muslim,0
look like someone would electric wheelchair race stephen hawking,0
ask call male youll always woman,0
yo ’ going hell homosexual god make like,0
people dumb police yelling everyone get area yet people stood recorded guess want die,0
white police officer always victim,0
fuck disgusting absolutely disgusted disappointed todays america,0
wellcongratulations u loose one ur subscriber shame u guy u guy sick,0
need exterminate people subject child perversion,0
repeating past used germany jew china muslim,0
trump liar idiot douche bag narcissist zionist boot licker,0
illegals want sue company money owed money owe america cost money educated medical care welfare ect,0
woman sort psychopath go way either male female toxic relationship need get help sooner better,0
people treating woman like dog,0
fuckhead make ashamed jewish shit people like destroying everything,0
cop get arrest walking like freely public problematics must stay home locked sue parent,0
theyll get know homosexuality anyways dont get whats wrong people nowadays dont teach homosexuality stop teaching heterosexuality also,0
there nowhere world woman equal place president prime minister queen america australia canada britain scandinavia france shall go like honestly woman u live equal world stop selfobsessed stop refusing look fact woman already equal men long time,0
one facility opened u provide shelter abused men feminist protested closed none,0
history men hitting woman provocation hitting woman come ijslets real however never hit man kicked ball im school hit imma hit back man woman child get trust ima try hit harder hit bc dont want smoke however stand woman hitting men expecting retaliation thats wack put grown panty take consequence slap punch especially ball kicking used get away attack reason prove point emotion dont think equality bc menwomen douche equal response unprovoked attack gender,0
evil realigion cristian right europe american asia australia puertorican discusting mind craquers san bernardian bravo mr president,0
wheelchaired woman actually scary,0
safest civilised society world japan banned islam coincidence,0
rotten nasty bastard,0
next time like front one like shout left ear trash worthless hahahhaa know ’ bad man im badman,0
thanks god least music pale pain blind oh ’ hear haha,0
sorry black american danger homosexual homosexual much privilege african american latino arab,0
something hate bisexualpeople always say your either gay straightbisexual isnt real thing ’  shut da fuq real thing,0
sterilised upon arrival future doesnt exist,0
said crazy loving god well literally crazy relief life,0
send em home metal crate theyre probation 20 year crime straight home many kid straight home bye,0
poor woman,0
people barbaric culture desert religion,0
people say yaaaassss queen sterilised,0
people changing gender left right cant even decide tattoo,0
people genuinely good learned hate europe white christian killed happened muslim world,0
feminist accusing woman demon abusing woman time,0
sea filled disgusting dead filth like ruined mediterranean vacation,0
michael jackson sick man sick fan,0
love love god excepts everyone mean everyone mean everyone im christian pan sexual respect every single person lgbtq community,0
lol im korean korean know look anything like drawing many square face see diversity korean face answer revealed end find video esp initial commentary pretty biased ethnically chinese people telling youtube tell asian apart asian racist people asian,0
lesbian chewbacca,0
shoot one le deal future,0
’ “ genderless ” look like girl,0
’ awkward woman work public service lowiq,0
guy actually autistic faking,0
case hire woman lesser get profit,0
masculine woman dude,0
fking queen move direction please move away camera used take picture applies every woman,0
white people gone earth go directly back stone age even kidding,0
men come norway seek liberty human right respect woman right norway people dont show pity accepting kind people country,0
god hate lgbt member much make people mean look jesus 2 dad turned perfectly fine,0
id beat fuck as wasnt actor,0
’ sure woman widow aborted monster child hit helping living life,0
ill take feminist seriously start talking sending woman combat amount woman men killed wounded battle exactly equality right,0
id love destroy need tech support,0
propose suicide evert politician,0
’ hate kid problem ’ saying feel ver uncomfortable around weirdo ’ like please god make child healthy good one,0
white go school whare mostly black kid made fun skin best friend mom dose like white change school,0
humiliating str8 guy str8 guy like dumb thing,0
fuck million subscriber fucking twat,0
holy shit kill,0
complaining right violated well maybe come uninvited country,0
fuck prophet,0
fat bastard forget vet kick as caught,0
faggot youre probably fatass,0
deport military aircraft dump back originated family,0
congratulation figured moron decided moron anymore youre freakin hero,0
citronella great venezuelan repellent,0
brown people love white country,0
bro delete yo shit youtube rn fuck outta yo clout chasing as,0
black person think rapper stop putting nword song plus proud white proud black,0
anyone cope gender born need serious psychological therapy,0
anxiety definition human meme anxiety disorder excuse thing,0
dislike fucking homophopes,0
